City,Avg_Workload_Points_per_Phleb
Abingdon,635.0
Abington,740.95
Acton,948.79
Agoura Hills,593.46
Aguas Buenas,750.0
Alamo,510.0
Albany,628.33
Alhambra,712.08
Aliso Viejo,610.96
Allendale,3945.0
Allston,505.0
Altadena,909.29
American Canyon,480.0
Amesbury,422.76
Anaheim,925.91
Andover,508.94
Antioch,575.83
Arcadia,670.23
Ardsley,993.33
Ardsley On Hudson,460.0
Arlington,592.15
Artesia,765.43
Arverne,732.5
Ashburn,670.0
Ashland,503.89
Astoria,867.83
Atkinson,494.67
Auburn,640.0
Auburndale,552.17
Avalon,750.0
Avon,673.33
Ayer,433.54
Azusa,584.57
Baldwin Park,593.44
Baltimore,876.11
Bayonne,1763.53
Bayside,1226.25
Bedford,458.82
Bel Air,430.0
Bell Gardens,786.93
Bellerose,686.4
Belleville,1100.0
Bellflower,704.07
Bellmore,1142.5
Bellport,530.0
Belmont,684.33
Bergenfield,3480.0
Berkeley,594.61
Bethel,754.0
Bethpage,880.0
Beverly,608.53
Beverly Hills,724.33
Billerica,583.92
Blauvelt,1140.0
Bloomfield,1312.5
Bloomingdale,1950.0
Bloomington,768.64
Bonsall,750.0
Boonton,960.0
Boston,766.35
Boxborough,1201.67
Boxford,666.0
Braintree,583.7
Branford,614.5
Brea,641.76
Breezy Point,702.5
Brentwood,711.11
Briarcliff Manor,1332.0
Bridgeport,655.0
Brighton,564.95
Brockton,523.36
Bronx,1360.29
Bronxville,1208.24
Brookfield,612.31
Brookline,673.63
Brooklyn,1450.17
Bryn Mawr,673.33
Buena Park,749.84
Bunnell,510.0
Burbank,792.54
Burlington,506.18
Butler,1470.0
Byfield,486.36
Calabasas,656.57
Caldwell,1450.48
Cambria Heights,753.33
Cambridge,700.66
Canoga Park,640.89
Canton,568.14
Canyon Country,618.63
Canyon Lake,723.33
Capistrano Beach,555.02
Carlisle,582.45
Carlsbad,596.23
Carlstadt,1680.0
Carmichael,794.09
Carson,1052.94
Castaic,618.0
Castro Valley,621.72
Catonsville,570.0
